문제,답변,날짜,Person,범위
"내일 범위 ",14. 웹사이트 보안을 위한 리액트와 웹페이지 보안 이슈 ( p. 875 ) - 15. 마치며 ( p. 916 ),2024년 1월 19일 오후 2:00,"지찬 주, JIN ",
공지,"1월 15일 월요일 - (시간 변경) 오후 7시로!
1월 16일 화요일 - 오후 4시 삼성역 가배도
1월 19일 ~ 1월 20일 - 휴",,,
리액트를 사용할 경우 장점,"1. 자바스크립트 코드의 크기가 줄었다. 상태를 관리하기위한 컨트롤러 대신 리액트는 단지 상태에 따른 ui를 선언적으로 구현 가능하기 때문.
2. 상대적으로 완만한 학습곡선, 자바스크립트코드와 html만 알면 손쉽게 코드작성 가능
3. 빠른 기능추가 : 빌드하는 시간이 훨씬 빠르다",2024년 1월 2일,지찬 주,
typeof null 했을때의 반환값은?,"Object이며, 이는 JavaScript의 초기 버전에서의 설계 결함 중 하나로 여겨진다.",2024년 1월 2일,지찬 주,
Bigint의 범위는?,"-2^53 -1 ~ 2^53 - 1
Number.MAX_SAFE_INTEGER ~ Number.MIN_SAFE_INTEGER
= 9007199254740991 ~ -9007199254740991",2024년 1월 2일,지찬 주,
원시타입과 객체타입의 저장 형태는?,"원시타입은 불변의형태로 저장, 객체타입은 변경가능한형태로 저장",2024년 1월 2일,지찬 주,
호이스팅이란 ?,함수에대한 선언을 실행전에 미리 메모리에 등록하는 작업,2024년 1월 2일,지찬 주,
리액트에서는 동등 비교를 어떻게 하는가?,"Object.is 기반으로 shallowEqual 함수를 만들어 사용한다. 원시값 비교 ( 타입까지 비교 ) 는 Object.is로 하고 Object.is로 하지 못하는 부분, 즉 객체 간 비교 depth 1까지 한다.",2024년 1월 2일,"JIN ",
화살표 함수와 일반 함수의 차이점,this 바인딩에서 가장 큰 차이를 보인다. 화살표 함수의 경우 상위 스코프의 this를 그대로 따르게 되고 일반 함수는 함수가 호출되는 방식에 따라 달라진다.,2024년 1월 2일,"JIN ",
함수 만들때 주의하면 좋은 점,"함수의 부수  효과를 최대한 억제하라, 가능한 한 함수를 작게 만들어라, 누구나 이해할 수 있는 이름을 붙여라",2024년 1월 2일,"JIN ",
클로저란 무엇이고 장점과 단점은?,"함수와 함수가 선언된 어휘적 환경의 조합이며, 
장점은 개발자가 원하는 정보만 원하는방향으로 노출시킬 수 있고, 
단점은 성능에 악영향을 끼칠 가능성이 있다. 내부함수는 외부함수의 선언적 환경을 기억하고있어야하기때문",2024년 1월 3일,지찬 주,
자바스크립트는 싱글 스레드 언어인데 비동기 프로세스처리는 어떻게 하는가?,태스크 큐가 할당되는 별도의 스레드에서 수행된다.,2024년 1월 3일,지찬 주,
이벤트 루프란?,자바스크립트 런타임 외부에서 비동기 실행을 돕기 위해 만들어진 장치,2024년 1월 3일,지찬 주,
일급객체란?,다른 객체들에 일반적으로 적용 가능한 연산을 모두 지원하는 객체,2024년 1월 2일,지찬 주,
클래스에 인수로 넘겨준 변수의 prototype을 확인할 수 있는 방법은 ?,Object.getPrototypeOf(),2024년 1월 3일,지찬 주,
이벤트루프가 호출스택에서 하는 역할,"이벤트처리 및 비동기 작업 관리, 호출 스택이 비어있는지 확인, 비어있다면 수행해야할 코드가 있는지 확인하고 호출 스택에 추가",2024년 1월 3일,지찬 주,
렉시컬 환경이란 무엇인가요? 동적으로 결정되나요 정적으로 결정되나요?,"변수가 코드 내부에서 어디서 선언됐는지를 말하는 것, 정적",2024년 1월 3일,"JIN ",
자바 스크립트가 멀티 스레드로 구현되지 않은 이유는 뭐라고 생각하시나요?,"당시에는 이렇게 많은 일을 수행하게 될 줄 몰랐고, 멀티 스레드의 단점을 생각해봤을 때 여러 문제점을 야기했을 것이다.",2024년 1월 3일,"JIN ",
태스크 큐와 마이크로 큐 대표 작업 예시를 들어주세요,"• 태스크 큐 : setTimeOut
• 마이크로 큐 : Promise",2024년 1월 3일,"JIN ",
JSX요소명이 대문자로 시작하는 이유는 ?,html태그명과 사용자가만든 컴포넌트 태그명을 구분짓기위해,2024년 1월 4일,지찬 주,
DOM 이란?,웹페이지에 대한 인터페이스로 브라우저가 웹페이지의 콘텐츠와 구조를 어떻게 보여줄지에 대한 정보를 담고있다.,2024년 1월 4일,지찬 주,
브라우저 렌더링 과정은 ?,"• 브라우저가 사용자가 요청한 주소를 방문해 HTML 파일을 다운로드한다.
• 브라우저의 렌더링 엔진은 HTML을 파싱해 DOM 노드로 구성된 트리(DOM)를 만든다.
• 2번 과정에서 CSS 파일을 만나면 해당 CSS 파일도 다운로드한다.
• 브라우저의 렌더링 엔진은 이 CSS도 파싱해 CSS 노드로 구성된 트리(CSSOM)를 만든다.
• 브라우저는 2번에서 만든 DOM 노드를 순회하는데. 여기서 모든 노드를 방문하는 것이 아니고 사용자 눈에 보이는 노드만 방문한다. 즉, display: none과 같이 사용자 화면에 보이지 않는 요소는 방문하지 않는다. 이는 트리를 분석하는 과정을 조금이라도 빠르게 하기 위해서다.
• 5번에서 제외된, 눈에 보이는 노드를 대상으로 해당 노드에 대한 CSSOM 정보를 찾고 여기서 발견한 CSS 스타일 정보를 이 노드에 적용한다.
레이아웃 : 각 노드가 브라우저 화면의 어느 좌표에 정확히 나타나야 하는지 계산하는 과정. 이 레이아웃 과정을 거치면 반드시 페인팅 과정도 거치게 된다.
페인팅: 레이아웃 단계를 거친 노드에 색과 같은 실제 유효한 모습을 그리는 과정.",2024년 1월 4일,"JIN ",
JSX가 반드시 트랜스파일러를 거쳐야 하는 이유는?,자바스크립트 표준코드가 아닌 페이스북이 임의로만든 새로운 문법이기때문에,2024년 1월 4일,지찬 주,
타입을 최대한 좁히는 것에 도움을 주는행위는?,"타입가드(instanceof, typeof)",2024년 1월 4일,지찬 주,
리액트 파이버란?,가상 DOM과 실제 DOM을 비교해 변경사항을 수집하며 만약 이 둘 사이에 차이가 있다면 변경된 정보를 가지고 있는 파이버를 기준으로 화면에 렌더링을 요청하는 역할을 한다,2024년 1월 4일,지찬 주,
"가상 DOM의 등장 배경은? ","렌더링 이후에 사용자 인터렉션을 통해 웹페이지가 계속해서 변경이 되는데 그때마다 브라우저 렌더링 과정 중 레이아웃과 리페인팅이 계속 발생하며 더 많은 비용으로 이어지고, 개발자 입장에서도 다양한 변경 사항을 추적하는 것도 수고스러운 일이었다. 그래서 최종 결과물 하나만 알고 싶었기 때문에 가상 DOM 을 활용하여 메모리에 저장하고 실제 변경에 대한 준비가 끝나면 실제 브라우저 DOM에 반영한다. 메모리에서 계산하는 과정을 거침으로 렌더링 과정을 최소화하고 브라우저와 개발자 입장에서도 부담이 덜어진다.",2024년 1월 4일,"JIN ",
리액트 요소와 파이버의 차이점은?,"리액트 요소는 렌더링이 발생할 때마다 새롭게 생성, 파이버는 가급적 재사용 (재사용 하는 이유 : 변경이 일어날때만다 재생성하기에는 변경이 잦기에 오히려 낭비가 될 수 있기 때문에 기존 객체를 재활용 한다. )",2024년 1월 4일,"JIN ",
"클래스형 컴포넌트에서, React.Component와 React.PureComponent의 차이는?",• Component는 state가 업데이트 되는대로 렌더링되지만 PureComponent는 얕은비교를 수행해 결과가 다를 때만 렌더링을 수행한다.,2024년 1월 5일,지찬 주,"2.3 클래스형 컴포넌트와 함수형 컴포너는 (p.98) - 2.5 컴포넌트와 함수의 무건운 연산을 기억해두는 메모이제이션 (p.188) "
클래스형 컴포넌트의 생명주기 메서드가 실행되는 시점은?,"• 마운트 : 컴포넌트가 마운팅 되는 시점
• 업데이트 : 이미 생성된 컴포넌트의 내용이 변경되는 시점
• 언마운트 : 컴포넌트가 더이상 존재하지 않는 시점",2024년 1월 5일,지찬 주,"2.3 클래스형 컴포넌트와 함수형 컴포너는 (p.98) - 2.5 컴포넌트와 함수의 무건운 연산을 기억해두는 메모이제이션 (p.188) "
클래스형 컴포넌트와 함수형 컴포넌트의 차이점,"• 클래스형 컴포넌트의 생명주기 메서드가 함수형 컴포넌트에는 존재하지 않는다 : 
함수형 컴포넌트는 props를 받아 단순히 리액트 요소만 반환하는 함수인 반면, 클래스형 컴포넌트는 render 메서드가 있는 React.Component를 상속 받아 구현하는 자바스크립트 클래스이기 때문 반면 함수형 컴포넌트는 useEffect 훅을 통해 클래스형 컴포넌트의 생명주기 메서드를 비슷하게 구현할 수 있다.",2024년 1월 5일,지찬 주,"2.3 클래스형 컴포넌트와 함수형 컴포너는 (p.98) - 2.5 컴포넌트와 함수의 무건운 연산을 기억해두는 메모이제이션 (p.188) "
리액트의 렌더링은 언제 발생하는가?,"1. 최초렌더링
2. 리렌더링 시",2024년 1월 5일,지찬 주,"2.3 클래스형 컴포넌트와 함수형 컴포너는 (p.98) - 2.5 컴포넌트와 함수의 무건운 연산을 기억해두는 메모이제이션 (p.188) "
리액트의 리렌더링은 언제 발생하는가?,"• 클래스형 컴포넌트의 setState가 실행되는 경우
• 클래스형 컴포넌트의 forceUpdate가 실행되는 경우
• 함수형 컴포넌트의 useState()의 두 번째 배열 요소인 setter가 실행되는 경우
• 함수형 컴포넌트의 useReducer()의 두 번째 요소인 dispatch가 실행되는 경우
• 컴포넌트의 key props가 변경되는 경우",2024년 1월 5일,지찬 주,"2.3 클래스형 컴포넌트와 함수형 컴포너는 (p.98) - 2.5 컴포넌트와 함수의 무건운 연산을 기억해두는 메모이제이션 (p.188) "
클래스형 컴포넌트의 한계점은?,"1. 데이터의 흐름을 추적하기 어렵다 : 메서드의 순서를 안맞춰줘도 되기때문에 state의 흐름을 읽기 힘들다
2. 애플리케이션 내부 로직의 재사용이 어렵다. : 공통로직이 많아질수록 이를 감싸는 컴포넌트 내지는 props가 많아지는 래퍼지옥에 빠져들 위험성이커질 수 있고, 재사용할 로직도 많아지는데 이를 클래스형 컴포넌트 환경에서 매끄럽게 처리하기 쉽지않다.
3. 기능이 많아질수록 컴포넌트의 크기가 커진다. : 로직이 많아질수록 생명주기 메서드 사용이 잦아져 컴포넌트의 크기가 기하급수적으로 커진다.
4. 클래스는 함수에 비해 상대적으로 어렵다. : 자바스크립트 개발자는 클래스 보다는 함수에 더 익숙하다.
5. 코드 크기를 최적화하기 어렵다. : 빌드 시 사용되지 않는 메서드도 그대로 번들된다.
6. 핫 리로딩을 하는 데 상대적으로 불리하다. :클래스형 컴포넌트는 최초 렌더링 시에 instance를 생성하고, 그 내부에서 state 값을 관리하는데, 이 instance 내부에 있는 render를 수정하게 되면 이를 반영할 수 있는 방법은 오직 instance를 새로 만드는 것뿐이다. 그리고 새롭게 만들어진 instance에서 값은 당연히 초기화될 수 밖에 없다. 이에 반해 함수형 컴포넌트를 state를 함수가 아닌 클로저에서 저장해 두므로 함수가 다시 실행돼도 해당 state를 잃지 않고 다시 보여줄 수 있게 된다.",2024년 1월 5일,지찬 주,"2.3 클래스형 컴포넌트와 함수형 컴포너는 (p.98) - 2.5 컴포넌트와 함수의 무건운 연산을 기억해두는 메모이제이션 (p.188) "
메모이제이션에 대해서 자신의 의견을 말해주세요,"• 섣부른 메모이제이션을 지양하고, 성능에 어떠한 영향을 미치는지 살펴 본 후 적용할 것이다.",2024년 1월 5일,지찬 주,"2.3 클래스형 컴포넌트와 함수형 컴포너는 (p.98) - 2.5 컴포넌트와 함수의 무건운 연산을 기억해두는 메모이제이션 (p.188) "
리액트 렌더링과 브라우저 렌더링 차이,"• 브라우저 렌더링은 HTML CSS 기반으로 사용자에게 보여줄 화면을 그리는 작업
• 리액트 렌더링은 리액트 애플리케이션 트리 안에 있는 모든 컴포넌트들이 인자와 상태값을 기반으로 어떻게 화면을 구성하고 DOM 결과를 브라우저에 제공할지 계산하는 과정",2024년 1월 5일,"JIN ","2.3 클래스형 컴포넌트와 함수형 컴포너는 (p.98) - 2.5 컴포넌트와 함수의 무건운 연산을 기억해두는 메모이제이션 (p.188) "
리액트 렌더링의 렌더 단계와 커밋 단계,"차이가 있음을 구분하는 단계가 렌더 단계, 차이가 있는 경우 화면에 적용하는 것이 커밋 단계",2024년 1월 5일,"JIN ","2.3 클래스형 컴포넌트와 함수형 컴포너는 (p.98) - 2.5 컴포넌트와 함수의 무건운 연산을 기억해두는 메모이제이션 (p.188) "
즉시 실행 함수의 장점,한번만 실행되고 재사용이 안되기 때문에 글로벌 스코프를 오염시키지 않으며 독립적이어서 리팩터링 때도 직관적이다.,2024년 1월 5일,"JIN ",
게으른 초기화는 어떨때 사용하나요?,"• useState의 초깃값이 복잡하거나 무거운 연산을 포함하고 있을때,",2024년 1월 6일,지찬 주,3.1 리액트의 모든 훅 파헤치기 ( p. 189 - p.251 )
useState 의 게으른 초기화(기본값을 함수로 두는 경우⇒state가 처음 만들어질 때만 사용되고 그 뒤로는 무시된다.)를 사용하는 경우는 어떤 경우인가요?,"• 초기값이 복잡하거나 무거운 연산을 수행하는 경우
• locaStorage, sessionStorage에 접근하는 경우, map, filter, find 메서드 같이 배열에 대한 접근, 초기값 계산을 위해 함수 접근이 필요할 때",2024년 1월 6일,"JIN ",3.1 리액트의 모든 훅 파헤치기 ( p. 189 - p.251 )
useEffect 의 두번째 인자에 아무것도 넣지 않으면 매 렌더링 모습을 알 수 있다. useEffect가 아니어도 해당 동작은 가능한데 두번째 인자가 없는 useEffect 만의 동작 특징이 있는가?,"• 클라이언트 사이드에서 실행되는 것을 보장
• useEffect는 컴포넌트 렌더링 이후에 발생한다. 반면 직접 실행은 컴포넌트 렌더링 도중에 실행된다. (서버사이드의 경우 서버에서도 실행) 그래서 직접 실행은 함수형 컴포넌트 반환을 지연시키는 행위이다.",2024년 1월 6일,"JIN ",3.1 리액트의 모든 훅 파헤치기 ( p. 189 - p.251 )
useContext 훅을 상태관리 훅이라고 할 수 없는 이유,상태를 주입할 뿐 상태를 변경하거나 렌더링 최적화에 영향을 주는 기능을 수행하지 않기 때문,2024년 1월 6일,"JIN ",3.1 리액트의 모든 훅 파헤치기 ( p. 189 - p.251 )
useState에 대해서 설명 해 주세요,"• 함수형 컴포넌트 내부에서 상태를 정의하고, 이 상태를 관리할 수 있게 해주는 훅",2024년 1월 6일,지찬 주,3.1 리액트의 모든 훅 파헤치기 ( p. 189 - p.251 )
useState는 어떻게 state의 값을 유지하고 있나요?,• state의 값을 유지하고 사용하기 위해서 리액트는 클로저를 활용하고있다.,2024년 1월 6일,지찬 주,3.1 리액트의 모든 훅 파헤치기 ( p. 189 - p.251 )
useEffect의 클린업 함수란?,"• useEffect의 콜백 함수가 이벤트를 등록했을때, 그 것을 지울 때 사용하는것
• useEffect는 그 콜백이 실행될 때마다, 이전의 클린업 함수가 존재한다면 그 클린업 함수를 실행한 뒤에 콜백을 실행한다.",2024년 1월 6일,지찬 주,3.1 리액트의 모든 훅 파헤치기 ( p. 189 - p.251 )
useEffect는 의존성배열에 값을 어떻게 비교하는가?,• Object.is를 기반으로 하는 얕은 비교,2024년 1월 6일,지찬 주,3.1 리액트의 모든 훅 파헤치기 ( p. 189 - p.251 )
useEffect에서 의존성 배열에 빈 배열을 지양하는 이유,"• useEffect는 반드시 의존성 배열로 전달한 값의 변경에 의해 실행돼야 하는 훅이다, 그러나 의존성 배열을 넘기지 않은 채 콜백 함수 내부에서 특정 값을 사용한다는 것은, 이 부수 효과가 실제로 관찰해서 실행돼야 하는 값과는 별개로 작동한다는 것을 의미한다. 즉, 컴포넌트의 state, props와 같은 어떤 값의 변경과 useEffect의 부수 효과가 별개로 작동하게 된다는것이다. useEffect에서 사용한 콜백 함수의 실행과 내부에서 사용한 값의 실제 변경 사이에 연결 고리가 끊어져 있는 것이다.",2024년 1월 6일,지찬 주,3.1 리액트의 모든 훅 파헤치기 ( p. 189 - p.251 )
